model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_cross_program_cluster_safe,1042,0.727447216890595,0.5333690750260178,0.7574831197982081,0.23243243243243245,0.18143459915611815,0.3233082706766917,0.6347717478514767,0.18014640419942407,1065,393,2,0.6699999999999999,0.590077228619894
fusion_svm,target_integration_binary,split_cross_program_cluster_safe,1042,0.789827255278311,0.5235183943974292,0.7888016755830057,0.16730038022813687,0.16923076923076924,0.16541353383458646,0.6170293721101434,0.17097121384727942,1065,393,2,0.69,0.5983324367939753
fusion_mlp,target_integration_binary,split_cross_program_cluster_safe,1042,0.800383877159309,0.5429824561403509,0.7984089301949693,0.2,0.2047244094488189,0.19548872180451127,0.6395444055683764,0.205253822207561,1065,393,2,0.22999999999999998,0.6218747035626686
fusion_extra_trees,target_integration_binary,split_cross_program_cluster_safe,1042,0.8109404990403071,0.5628179980789668,0.8080957824687758,0.23346303501945526,0.24193548387096775,0.22556390977443608,0.6745494098282008,0.21526750048160884,1065,393,2,0.16999999999999998,0.614536098594152
