,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,111,1,0,1,1,0
implicit_mmr,39,5,1,13,0,1
multi_method_not_mmr,25,0,1,18,3,4
no_method_signal,10,0,4,39,0,3
qual_only,16,2,0,11,8,3
quant_only,18,1,3,19,1,12
