model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_design_binary,split_edu_to_eng_cluster_safe,331,0.8006042296072508,0.530798969072165,0.8221026567415206,0.175,0.14,0.23333333333333334,0.6579180509413068,0.16595372432287506,1844,325,2,0.8099999999999999,0.5788943276706018
fusion_svm,target_design_binary,split_edu_to_eng_cluster_safe,331,0.8157099697885196,0.5517593517593518,0.8333759560345663,0.2077922077922078,0.1702127659574468,0.26666666666666666,0.6362126245847176,0.14310497368860944,1844,325,2,0.63,0.545
fusion_mlp,target_design_binary,split_edu_to_eng_cluster_safe,331,0.879154078549849,0.6220598310116465,0.8772706042089098,0.3103448275862069,0.32142857142857145,0.3,0.6703211517165006,0.2209384124359717,1844,325,2,0.13999999999999999,0.638902724033562
fusion_extra_trees,target_design_binary,split_edu_to_eng_cluster_safe,331,0.8368580060422961,0.6076132771338251,0.8531679077037683,0.3076923076923077,0.25,0.4,0.71140642303433,0.20774059246532353,1844,325,2,0.12,0.5583262223065011
