,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,36,1,0,13,0,0
implicit_mmr,4,0,0,9,0,2
multi_method_not_mmr,20,0,0,18,0,0
no_method_signal,16,1,0,43,0,5
qual_only,4,0,0,4,0,0
quant_only,18,0,0,18,0,6
