,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,44,0,0,4,1,1
implicit_mmr,7,0,1,3,0,4
multi_method_not_mmr,14,0,3,16,1,4
no_method_signal,4,0,5,52,2,2
qual_only,2,0,2,4,0,0
quant_only,15,0,2,16,1,8
