split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
train,0.9857142857142858,0.9856235863877872,0.9844816883923029,0.9924906132665833,0.9766009852216748,0.9983680296616845,0.9981509401318643
validation,0.8936170212765957,0.8922728705268888,0.8802395209580839,0.9245283018867925,0.84,0.9598009950248757,0.9648254197083083
test,0.8823529411764706,0.8817816091954023,0.8735632183908046,0.8685714285714285,0.8786127167630058,0.9456187271733816,0.9465302101110591
