,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,14,6,1,5,6,5
true_implicit_mmr,7,0,0,0,5,2
true_multi_method_not_mmr,2,2,5,6,4,4
true_no_method_signal,0,0,2,9,3,4
true_qual_only,1,1,1,0,2,3
true_quant_only,2,1,1,5,2,3
