,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,24,5,1,8,0,12
true_implicit_mmr,4,2,1,6,0,2
true_multi_method_not_mmr,21,0,4,12,0,1
true_no_method_signal,23,4,4,22,0,12
true_qual_only,5,0,2,1,0,0
true_quant_only,20,1,2,10,0,9
