,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,23,10,6,3,1,7
implicit_mmr,2,8,1,2,1,1
multi_method_not_mmr,2,9,5,11,5,6
no_method_signal,6,8,11,28,8,4
qual_only,3,1,1,1,1,1
quant_only,7,9,5,8,2,11
