column,role,dtype,missing,unique_non_null
g_institution_prior_year_count_log1p,graph_historical_feature,float64,0,26
g_program_prior_award_count_log1p,graph_historical_feature,float64,0,382
g_program_prior_person_count_log1p,graph_historical_feature,float64,0,472
g_program_prior_institution_count_log1p,graph_historical_feature,float64,0,293
g_program_prior_year_count_log1p,graph_historical_feature,float64,0,26
g_nsforg_prior_award_count_log1p,graph_historical_feature,float64,0,125
g_nsforg_prior_person_count_log1p,graph_historical_feature,float64,0,124
g_nsforg_prior_institution_count_log1p,graph_historical_feature,float64,0,120
g_nsforg_prior_year_count_log1p,graph_historical_feature,float64,0,26
g_directorate_prior_award_count_log1p,graph_historical_feature,float64,0,51
g_directorate_prior_person_count_log1p,graph_historical_feature,float64,0,51
g_directorate_prior_institution_count_log1p,graph_historical_feature,float64,0,51
g_directorate_prior_year_count_log1p,graph_historical_feature,float64,0,26
g_state_prior_award_count_log1p,graph_historical_feature,float64,0,542
g_state_prior_person_count_log1p,graph_historical_feature,float64,0,642
g_state_prior_program_count_log1p,graph_historical_feature,float64,0,133
g_state_prior_year_count_log1p,graph_historical_feature,float64,0,26
g_team_prior_award_count_sum_log1p,graph_historical_feature,float64,0,39
g_team_prior_award_count_mean_log1p,graph_historical_feature,float64,0,113
g_team_prior_award_count_max_log1p,graph_historical_feature,float64,0,28
g_team_prior_award_count_min_log1p,graph_historical_feature,float64,0,23
g_team_prior_award_count_nonzero_count_log1p,graph_historical_feature,float64,0,8
g_team_prior_collaborator_count_sum_log1p,graph_historical_feature,float64,0,62
g_team_prior_collaborator_count_mean_log1p,graph_historical_feature,float64,0,162
g_team_prior_collaborator_count_max_log1p,graph_historical_feature,float64,0,42
g_team_prior_collaborator_count_min_log1p,graph_historical_feature,float64,0,27
g_team_prior_collaborator_count_nonzero_count_log1p,graph_historical_feature,float64,0,8
g_team_prior_program_count_sum_log1p,graph_historical_feature,float64,0,26
g_team_prior_program_count_mean_log1p,graph_historical_feature,float64,0,75
g_team_prior_program_count_max_log1p,graph_historical_feature,float64,0,17
g_team_prior_program_count_min_log1p,graph_historical_feature,float64,0,12
g_team_prior_program_count_nonzero_count_log1p,graph_historical_feature,float64,0,8
g_team_prior_institution_count_sum_log1p,graph_historical_feature,float64,0,17
g_team_prior_institution_count_mean_log1p,graph_historical_feature,float64,0,47
g_team_prior_institution_count_max_log1p,graph_historical_feature,float64,0,10
g_team_prior_institution_count_min_log1p,graph_historical_feature,float64,0,8
g_team_prior_institution_count_nonzero_count_log1p,graph_historical_feature,float64,0,8
g_current_team_prior_pair_collaboration_count_sum_log1p,graph_historical_feature,float64,0,16
g_current_team_prior_pair_collaboration_count_mean_log1p,graph_historical_feature,float64,0,38
g_current_team_prior_pair_collaboration_count_max_log1p,graph_historical_feature,float64,0,9
g_current_team_prior_pair_collaboration_count_min_log1p,graph_historical_feature,float64,0,6
g_current_team_prior_pair_collaboration_count_nonzero_count_log1p,graph_historical_feature,float64,0,9
g_current_team_any_prior_pair_collaboration_log1p,graph_historical_feature,float64,0,2
