,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,305,63,13,1,16,46
implicit_mmr,102,36,0,1,5,22
multi_method_not_mmr,32,14,8,11,3,23
no_method_signal,3,1,4,2,0,13
qual_only,47,19,6,2,6,15
quant_only,23,20,4,6,2,23
