,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,219,86,17,40,42,40
implicit_mmr,69,36,11,10,13,27
multi_method_not_mmr,29,21,8,14,9,10
no_method_signal,4,1,7,8,1,2
qual_only,39,17,3,8,15,13
quant_only,16,19,2,8,7,26
