epoch,train_loss,val_macro_f1,val_accuracy,val_weighted_f1
1,1.965586543083191,0.045871559633027525,0.1595744680851064,0.04391957837204764
2,1.9905973672866821,0.0938915794407124,0.17819148936170212,0.13540520596848232
3,1.9118925333023071,0.2192675695707836,0.3617021276595745,0.2833790842505021
4,1.855270504951477,0.20858369815116537,0.2978723404255319,0.25216553923211
5,1.8409268856048584,0.15487383521898593,0.21010638297872342,0.15526707226409162
6,1.8392293453216553,0.18605085762650742,0.26595744680851063,0.226054175628036
7,1.804154396057129,0.18695104633686946,0.30319148936170215,0.24118959146740065
8,1.791116714477539,0.1815292356863759,0.30851063829787234,0.2359226101904985
9,1.7601085901260376,0.17535402361461086,0.31117021276595747,0.23071540146162944
10,1.764418601989746,0.2005748880748881,0.3191489361702128,0.25111416361416367
11,1.75437593460083,0.20718727924231284,0.32180851063829785,0.2540881194970389
12,1.740606427192688,0.20873849854902124,0.3404255319148936,0.2589173286384924
13,1.7249990701675415,0.2034805890227577,0.3617021276595745,0.2631248397846706
14,1.7211167812347412,0.2229753174824186,0.3882978723404255,0.28436363762044986
15,1.6950465440750122,0.21660511184899991,0.3696808510638298,0.27736801726225296
16,1.7047603130340576,0.22257575659589512,0.4015957446808511,0.29171848940284384
17,1.670906662940979,0.22534933927082854,0.4095744680851064,0.29026295866751534
18,1.647524356842041,0.24436248098982816,0.4228723404255319,0.31228646940803384
19,1.6351783275604248,0.26359318874671367,0.42021276595744683,0.330506305851639
20,1.6270555257797241,0.2741919474932229,0.43882978723404253,0.33594194109021586
21,1.6122233867645264,0.29944030444343667,0.44148936170212766,0.3638614237429866
22,1.6027992963790894,0.30869330091812497,0.4601063829787234,0.3768042692788321
23,1.5853945016860962,0.32774919134877495,0.4654255319148936,0.3922458993001212
24,1.5808796882629395,0.3336107657157321,0.46808510638297873,0.3985787978901887
25,1.5787495374679565,0.3317359763404618,0.4601063829787234,0.3943646705921093
26,1.5629369020462036,0.3219240426435879,0.45478723404255317,0.3855749821547264
27,1.5548129081726074,0.3149807932323236,0.4521276595744681,0.37863456624917147
28,1.5427310466766357,0.3053469060406583,0.44680851063829785,0.36904591718204066
29,1.5476796627044678,0.319195299263067,0.4601063829787234,0.3827708114788405
30,1.5394831895828247,0.3276109484782576,0.4574468085106383,0.3915181562676555
31,1.5287117958068848,0.34837417050467945,0.4627659574468085,0.40682020110702655
32,1.5241025686264038,0.3496193928329851,0.4574468085106383,0.4100549839198878
33,1.5339007377624512,0.34551334377306736,0.4654255319148936,0.4071151412556546
34,1.5116666555404663,0.3240627068246078,0.4521276595744681,0.3877447110498535
35,1.5163685083389282,0.33760955859996034,0.4574468085106383,0.39940541600661206
36,1.498778223991394,0.3407242363230926,0.45478723404255317,0.4010906742214951
37,1.4982023239135742,0.3506402423515416,0.45478723404255317,0.4099218020168739
38,1.4901793003082275,0.34708164095149,0.44148936170212766,0.4075556503865184
39,1.4752932786941528,0.35239668765784266,0.4574468085106383,0.4123692166539645
40,1.4692986011505127,0.3531295093795093,0.4654255319148936,0.4158674511068128
41,1.4724414348602295,0.3608793683445857,0.4654255319148936,0.4242814516977378
42,1.4636995792388916,0.37748745003143425,0.4734042553191489,0.4367636595048105
43,1.45697820186615,0.3413039346153326,0.4441489361702128,0.40398871263466474
44,1.472847580909729,0.3663191477107335,0.4654255319148936,0.420354651660167
45,1.4896752834320068,0.31141198074852644,0.4095744680851064,0.3762061834591276
46,1.4604284763336182,0.3313981656186025,0.4148936170212766,0.3906252561306192
