model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_edu_to_eng_cluster_safe,331,0.7039274924471299,0.5606988082340195,0.7478812685548569,0.30985915492957744,0.22,0.5238095238095238,0.723512934585599,0.30972452950760504,1852,317,2,0.13,0.6177719528178244
fusion_svm,target_integration_binary,split_edu_to_eng_cluster_safe,331,0.7009063444108762,0.583012025195648,0.7484659845488375,0.36129032258064514,0.24778761061946902,0.6666666666666666,0.7430383918273191,0.3313562128837008,1852,317,2,0.29,0.6204501915708812
fusion_mlp,target_integration_binary,split_edu_to_eng_cluster_safe,331,0.8368580060422961,0.5792372881355932,0.8249219110041477,0.25,0.3,0.21428571428571427,0.749629263470094,0.2790725781203028,1852,317,2,0.20999999999999996,0.6210769188002112
fusion_extra_trees,target_integration_binary,split_edu_to_eng_cluster_safe,331,0.7250755287009063,0.5075129576037017,0.7517763896991997,0.18018018018018017,0.14492753623188406,0.23809523809523808,0.7022573735376503,0.18264361972720045,1852,317,2,0.16999999999999998,0.6058484918259268
