model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8511904761904762,0.6111111111111112,0.8439153439153438,0.3055555555555556,0.34375,0.275,0.7179054054054054,0.283439247294142,1762,402,2,0.8599999999999999,0.6621848739495799
fusion_svm,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8511904761904762,0.6013289036544851,0.8417971839898751,0.2857142857142857,0.3333333333333333,0.25,0.7046452702702704,0.23989395940959182,1762,402,2,0.6799999999999999,0.6574035392610664
fusion_mlp,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8720238095238095,0.6614093881090202,0.8648708669097223,0.39436619718309857,0.45161290322580644,0.35,0.7713682432432433,0.4038987656231441,1762,402,2,0.3499999999999999,0.6937531742001015
fusion_extra_trees,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8392857142857143,0.6326530612244898,0.8425655976676384,0.35714285714285715,0.3409090909090909,0.375,0.7856418918918918,0.4282084798429839,1762,402,2,0.21999999999999997,0.6440522716170005
