model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes
dummy,target_integration_binary,split_cross_program_cluster_safe,218,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.0,0.0,0.0,0.5,0.2981651376146789,2228,54,2
fusion_lr,target_integration_binary,split_cross_program_cluster_safe,218,0.8073394495412844,0.7851914414414414,0.8130346516241012,0.7162162162162162,0.6385542168674698,0.8153846153846154,0.8751131221719457,0.8091869155625463,2228,54,2
fusion_svm,target_integration_binary,split_cross_program_cluster_safe,218,0.7981651376146789,0.7749624624624625,0.8041315397966774,0.7027027027027027,0.6265060240963856,0.8,0.8678733031674208,0.8115587718815832,2228,54,2
fusion_mlp,target_integration_binary,split_cross_program_cluster_safe,218,0.8486238532110092,0.8199474408709799,0.8489534671459521,0.7480916030534351,0.7424242424242424,0.7538461538461538,0.9074912016088487,0.804035866987131,2228,54,2
fusion_extra_trees,target_integration_binary,split_cross_program_cluster_safe,218,0.8394495412844036,0.7884961884961885,0.8304017496678047,0.6846846846846847,0.8260869565217391,0.5846153846153846,0.8802413273001509,0.7702723055025509,2228,54,2
