model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_cross_program_cluster_safe,1042,0.7236084452975048,0.5457633275815094,0.7574317498937984,0.26153846153846155,0.19844357976653695,0.38345864661654133,0.6389736718032706,0.1814768885229292,1065,393,2,0.49999999999999994,0.6025079119946927
fusion_svm,target_integration_binary,split_cross_program_cluster_safe,1042,0.7226487523992322,0.5414647219062672,0.7561193900933524,0.2532299741602067,0.19291338582677164,0.3684210526315789,0.6287997220774708,0.17599469864791598,1065,393,2,0.4799999999999999,0.5981197427016328
fusion_mlp,target_integration_binary,split_cross_program_cluster_safe,1042,0.8339731285988484,0.49668160433331937,0.8035259452829683,0.08465608465608465,0.14285714285714285,0.06015037593984962,0.6449539690811187,0.19250269229386796,1065,393,2,0.26999999999999996,0.6262150790708172
fusion_extra_trees,target_integration_binary,split_cross_program_cluster_safe,1042,0.7667946257197696,0.5525787077040516,0.7831356458180561,0.24299065420560748,0.2074468085106383,0.2932330827067669,0.6667038884339562,0.2227160203438586,1065,393,2,0.15999999999999998,0.5652236652236652
