split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
train,0.898170246618934,0.8723882159603561,0.9297475301866082,0.9549041713641488,0.9058823529411765,0.9527053509150697,0.9848815767564363
validation,0.9277456647398844,0.7354011807531124,0.9609984399375975,0.9565217391304348,0.9655172413793104,0.9294090328573088,0.9936073962220296
test,0.9520624303232998,0.5099294835143892,0.9754145225843339,0.9748571428571429,0.9759725400457666,0.9017013232514178,0.9972444667796753
