,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,86,8,6,2,2,6
true_implicit_mmr,31,7,4,5,4,6
true_multi_method_not_mmr,13,5,13,17,4,7
true_no_method_signal,11,2,10,18,0,14
true_qual_only,9,3,2,6,5,6
true_quant_only,13,3,7,12,4,14
