epoch,loss,threshold,train_accuracy,train_macro_f1,train_weighted_f1,train_positive_f1,train_precision,train_recall,train_roc_auc,train_pr_auc,val_accuracy,val_macro_f1,val_weighted_f1,val_positive_f1,val_precision,val_recall,val_roc_auc,val_pr_auc
1,0.7058562636375427,0.5,0.7771428571428571,0.5190193491644679,0.7666729488629225,0.8713720316622692,0.8566796368352788,0.8865771812080537,0.48948760970573046,0.8416552742672987,0.7712765957446809,0.5421127159444916,0.7695535590544538,0.8660436137071651,0.8633540372670807,0.86875,0.6025669642857142,0.8830641203143071
2,2.472585678100586,0.5,0.14857142857142858,0.12935323383084577,0.0384363894811656,0.0,0.0,0.0,0.661528136293237,0.9148993645628861,0.14893617021276595,0.12962962962962962,0.03861308116627265,0.0,0.0,0.0,0.6426897321428572,0.9025341010226793
3,0.5969469547271729,0.5,0.6902857142857143,0.5981368122779902,0.7333911672535279,0.7905718701700154,0.9316939890710383,0.6865771812080537,0.759388229220444,0.9452571157854703,0.7101063829787234,0.6201210525827949,0.7499359554490526,0.8050089445438283,0.9414225941422594,0.703125,0.7962053571428571,0.9521218317477503
4,1.2044939994812012,0.5,0.8514285714285714,0.45987654320987653,0.7831040564373898,0.9197530864197531,0.8514285714285714,1.0,0.6320443985544657,0.9085195670649748,0.851063829787234,0.45977011494252873,0.7825874296894105,0.9195402298850575,0.851063829787234,1.0,0.6905691964285714,0.9232908040618423
5,1.1003504991531372,0.5,0.8514285714285714,0.45987654320987653,0.7831040564373898,0.9197530864197531,0.8514285714285714,1.0,0.6681040268456376,0.9197572114334444,0.851063829787234,0.45977011494252873,0.7825874296894105,0.9195402298850575,0.851063829787234,1.0,0.6703125,0.9197202743876152
6,0.8166300058364868,0.5,0.8554285714285714,0.4905878116158635,0.7935953298938045,0.9216960693283813,0.855255600229753,0.9993288590604027,0.7289700567888486,0.9367107886479592,0.851063829787234,0.45977011494252873,0.7825874296894105,0.9195402298850575,0.851063829787234,1.0,0.7191964285714285,0.9360345519019115
7,0.6035516262054443,0.5,0.8217142857142857,0.6584084084084084,0.8244135564135564,0.8945945945945946,0.9006802721088435,0.8885906040268456,0.7939752194114611,0.9545598431363385,0.8430851063829787,0.6882123933605993,0.8425006810508189,0.9079563182527302,0.9065420560747663,0.909375,0.8061941964285714,0.9537360270887243
8,0.623866856098175,0.5,0.432,0.4166361486382252,0.4831767724937991,0.511307767944936,0.9558823529411765,0.348993288590604,0.7751316468766133,0.9482398788785612,0.4122340425531915,0.4029044241810199,0.45530908908002615,0.47754137115839246,0.9805825242718447,0.315625,0.7896205357142858,0.9519179248528649
9,0.7267147898674011,0.5,0.2,0.19255862024417028,0.13807708988898834,0.11504424778761062,0.9891304347826086,0.0610738255033557,0.7750232318017554,0.9476053416321816,0.22074468085106383,0.21608140320916497,0.17362949640015476,0.15561959654178675,1.0,0.084375,0.7955915178571428,0.9500601677852598
10,0.7444390058517456,0.5,0.1777142857142857,0.1658161685082809,0.09579375624327642,0.06619078520441272,1.0,0.03422818791946309,0.7557150232318017,0.9415466441166552,0.18617021276595744,0.17588745953069937,0.11125301062336286,0.08383233532934131,1.0,0.04375,0.8220982142857143,0.9575294814583775
11,0.6811156868934631,0.5,0.21314285714285713,0.20755133939361853,0.16076517047141778,0.14098565190268247,1.0,0.07583892617449664,0.8078807434176563,0.9576817690509218,0.17819148936170212,0.16624925547717634,0.09618815002129172,0.06646525679758308,1.0,0.034375,0.8420200892857141,0.9686063063420813
12,0.6250820159912109,0.5,0.3605714285714286,0.35770042813411523,0.38788274042381954,0.4006427423674344,0.9920424403183024,0.25100671140939596,0.8200025813113061,0.9612215559868826,0.3829787234042553,0.3772701313535123,0.4191331397256279,0.4368932038834951,0.9782608695652174,0.28125,0.8311941964285714,0.9621775986394958
13,0.5815008282661438,0.5,0.6765714285714286,0.6070698078866901,0.7232206141940655,0.7723250201126307,0.963855421686747,0.6442953020134228,0.8349303045947342,0.9662085420996782,0.7127659574468085,0.6432261465471798,0.753819580748999,0.8007380073800738,0.9774774774774775,0.678125,0.8735491071428572,0.9745683034511774
14,0.5832155346870422,0.5,0.8342857142857143,0.7044091094414351,0.8421230956125243,0.9003436426116839,0.9225352112676056,0.8791946308724832,0.8426974703149199,0.967613317014645,0.8590425531914894,0.757940894238828,0.8677797335948056,0.9143780290791599,0.9464882943143813,0.884375,0.8917410714285714,0.9789580797378956
15,0.6072822213172913,0.5,0.8565714285714285,0.6418598014635439,0.8367640828972694,0.9191626409017714,0.8835913312693499,0.9577181208053691,0.8341765616933402,0.9646100577083552,0.8590425531914894,0.6748413203452608,0.8466756859685975,0.9195751138088012,0.8938053097345132,0.946875,0.8512834821428572,0.9705695652724888
16,0.6142424941062927,0.5,0.8674285714285714,0.6390584938604383,0.8408510192977973,0.9261616804583068,0.8807506053268765,0.9765100671140939,0.8489287558079505,0.9691174482373501,0.8537234042553191,0.6425546625183649,0.835456212063541,0.9172932330827067,0.8840579710144928,0.953125,0.8538504464285716,0.9706387737522858
17,0.6050713062286377,0.5,0.8617142857142858,0.6657194727287079,0.8456251592751711,0.9216828478964402,0.89,0.9557046979865772,0.8357408363448632,0.9636593233491438,0.8670212765957447,0.7116564417177914,0.8602662837749641,0.9233128834355828,0.9066265060240963,0.940625,0.8909040178571428,0.9793785087673196
18,0.574547529220581,0.5,0.8514285714285714,0.6986723038124907,0.8494670142200181,0.9132176234979973,0.9083665338645418,0.9181208053691275,0.8563680949922561,0.9700430393071543,0.8537234042553191,0.6906368273819319,0.8483469236990536,0.9152542372881356,0.9027355623100304,0.928125,0.8700892857142857,0.9699258425610344
19,0.5470304489135742,0.5,0.832,0.7255121638924455,0.8456773367477594,0.8964788732394366,0.942962962962963,0.8543624161073825,0.8666907589055239,0.9719987599741966,0.848404255319149,0.7614611506227253,0.8625755983753941,0.9054726368159204,0.9646643109540636,0.853125,0.9037388392857143,0.981088550927408
20,0.5385714769363403,0.5,0.7577142857142857,0.6731853417899929,0.7900062418201954,0.8393939393939394,0.9634782608695652,0.7436241610738255,0.8690526587506453,0.9733350481550925,0.773936170212766,0.6975060337892196,0.8042655894284589,0.8495575221238938,0.9795918367346939,0.75,0.8901785714285714,0.9789090434610042
21,0.5473711490631104,0.5,0.6908571428571428,0.6237649416085573,0.735433963984417,0.7826436319807152,0.974974974974975,0.6536912751677852,0.860252968508002,0.9715962418789619,0.7047872340425532,0.6385085098090165,0.747189150788232,0.7932960893854749,0.9815668202764977,0.665625,0.8752232142857143,0.9758613035980834
