,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,109,0,0,1,0,0
implicit_mmr,46,0,2,6,0,3
multi_method_not_mmr,25,1,4,23,0,6
no_method_signal,4,0,2,47,1,1
qual_only,19,0,4,3,1,4
quant_only,27,1,5,13,0,7
