split,accuracy,macro_f1,weighted_f1
train,0.9156722354813047,0.9144832394280117,0.9139183327887086
validation,0.6994219653179191,0.6214766833621227,0.7014253655476884
test,0.693422519509476,0.5090888379353365,0.6997269540134347
