,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,0,0,0,444,0,0
implicit_mmr,0,0,0,166,0,0
multi_method_not_mmr,0,0,0,91,0,0
no_method_signal,0,0,0,23,0,0
qual_only,0,0,0,95,0,0
quant_only,0,0,0,78,0,0
