split,accuracy,macro_f1,weighted_f1
train,0.964,0.9588989422831324,0.9637054600484964
validation,0.7340425531914894,0.7028175444709942,0.7311621365989646
test,0.7058823529411765,0.6555832061362136,0.7009921310954215
