model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_design_binary,split_cold_start_institution_cluster_safe,290,0.8862068965517241,0.6321918597947653,0.90623297828775,0.32653061224489793,0.23529411764705882,0.5333333333333333,0.8358787878787879,0.25711138168634023,2030,180,2,0.06,0.6516578505999227
fusion_svm,target_design_binary,split_cold_start_institution_cluster_safe,290,0.9482758620689655,0.5455020374046599,0.9290961561325699,0.11764705882352941,0.5,0.06666666666666667,0.8249696969696969,0.24186275327569812,2030,180,2,0.71,0.6610169491525424
fusion_mlp,target_design_binary,split_cold_start_institution_cluster_safe,290,0.9310344827586207,0.6247412008281573,0.9286963661026628,0.2857142857142857,0.3076923076923077,0.26666666666666666,0.8065454545454546,0.26769054951584964,2030,180,2,0.08,0.6610169491525424
fusion_extra_trees,target_design_binary,split_cold_start_institution_cluster_safe,290,0.8379310344827586,0.613432031538047,0.8775485055906489,0.3188405797101449,0.2037037037037037,0.7333333333333333,0.8540606060606061,0.37060099072071767,2030,180,2,0.12,0.54398894518655
