,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,29,2,1,2,1,2
true_implicit_mmr,8,1,0,1,2,2
true_multi_method_not_mmr,6,4,5,5,1,2
true_no_method_signal,2,1,3,9,0,3
true_qual_only,2,0,2,2,0,2
true_quant_only,4,3,1,6,0,0
