model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8184523809523809,0.5312735838269261,0.8108088388235666,0.1643835616438356,0.18181818181818182,0.15,0.661402027027027,0.18751137153962008,1762,402,2,0.8899999999999999,0.6291456830452339
fusion_svm,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8125,0.491239454899416,0.799264546831062,0.08695652173913043,0.10344827586206896,0.075,0.6347972972972973,0.16936159200240908,1762,402,2,0.72,0.629951752158456
fusion_mlp,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.7976190476190477,0.619174611640776,0.8177910273383306,0.3584905660377358,0.2878787878787879,0.475,0.7621621621621621,0.2851683610305237,1762,402,2,0.16999999999999998,0.6853782198881617
fusion_extra_trees,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.7619047619047619,0.6092796092796092,0.7953369381940809,0.36507936507936506,0.26744186046511625,0.575,0.807347972972973,0.4460329136704178,1762,402,2,0.18,0.672524147561969
