,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,68,20,5,4,11,6
implicit_mmr,17,30,3,1,3,5
multi_method_not_mmr,5,7,12,16,6,5
no_method_signal,1,3,6,33,5,8
qual_only,6,8,4,5,14,3
quant_only,6,9,13,5,2,19
