model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes
dummy,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.5526315789473685,0.3559322033898305,0.39339875111507583,0.0,0.0,0.0,0.5,0.4473684210526316,2253,133,2
fusion_lr,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.8508771929824561,0.8482499412731971,0.8503517426406042,0.8282828282828283,0.8541666666666666,0.803921568627451,0.9078742608154372,0.8948435857245027,2253,133,2
fusion_svm,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.7807017543859649,0.7744360902255638,0.7783933518005539,0.7368421052631579,0.7954545454545454,0.6862745098039216,0.8863990040460629,0.8761316525362812,2253,133,2
fusion_mlp,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.8771929824561403,0.8753124999999999,0.8769243421052632,0.86,0.8775510204081632,0.8431372549019608,0.9436663554310611,0.9378336196349966,2253,133,2
fusion_extra_trees,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.8508771929824561,0.8456391875746715,0.848632333521977,0.8172043010752689,0.9047619047619048,0.7450980392156863,0.9066293183940242,0.9026010082022045,2253,133,2
