model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.7916666666666666,0.5509736540664376,0.8014509354715541,0.2222222222222222,0.2,0.25,0.6128378378378379,0.17720804049321665,1762,402,2,0.7,0.5681949174744564
fusion_svm,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.7619047619047619,0.513888888888889,0.7784391534391536,0.16666666666666666,0.14285714285714285,0.2,0.6076013513513514,0.16684314815428472,1762,402,2,0.42999999999999994,0.5689896907216495
fusion_mlp,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8095238095238095,0.5894616265750285,0.8184694267168494,0.28888888888888886,0.26,0.325,0.6826013513513512,0.2394731343484013,1762,402,2,0.29,0.5692857142857143
fusion_extra_trees,target_integration_binary,split_cold_start_pi_cluster_safe,336,0.8244047619047619,0.6026856398436717,0.8288214774836682,0.3058823529411765,0.28888888888888886,0.325,0.6579391891891893,0.3518403769681953,1762,402,2,0.18,0.5949560332193454
