,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,34,7,1,2,3,3
implicit_mmr,6,2,0,1,1,5
multi_method_not_mmr,6,8,3,10,4,7
no_method_signal,1,11,13,25,7,8
qual_only,2,1,0,3,1,1
quant_only,5,6,8,7,2,14
