,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,65,20,8,8,10,3
true_implicit_mmr,9,20,8,10,4,8
true_multi_method_not_mmr,2,12,6,9,12,10
true_no_method_signal,5,5,12,20,9,5
true_qual_only,7,5,5,1,18,4
true_quant_only,3,7,10,14,3,17
