,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,120,115,48,51,48,62
true_implicit_mmr,39,52,17,20,25,13
true_multi_method_not_mmr,13,30,8,33,2,5
true_no_method_signal,0,6,3,13,0,1
true_qual_only,36,17,3,15,19,5
true_quant_only,12,24,13,16,3,10
