,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,22,2,2,4,2,5
true_implicit_mmr,5,1,1,3,3,1
true_multi_method_not_mmr,3,1,6,4,5,4
true_no_method_signal,2,0,2,9,2,3
true_qual_only,2,0,1,3,1,1
true_quant_only,2,2,0,6,1,3
