,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,32,13,0,2,1,2
implicit_mmr,3,7,0,0,2,3
multi_method_not_mmr,5,3,6,10,10,4
no_method_signal,1,1,7,33,8,15
qual_only,1,2,2,0,2,1
quant_only,5,6,7,11,4,9
