model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes
dummy,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8493150684931506,0.45925925925925926,0.7801116184677829,0.9185185185185185,0.8493150684931506,1.0,0.5,0.8493150684931506,1735,400,2
fusion_lr,target_design_binary,split_cold_start_pi_cluster_safe,365,0.821917808219178,0.6645457758925415,0.8250652488657109,0.8943089430894309,0.9016393442622951,0.8870967741935484,0.7907331378299121,0.9506456544675272,1735,400,2
fusion_svm,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8191780821917808,0.6357946298984035,0.816345905322385,0.8942307692307693,0.8885350318471338,0.9,0.7673313782991202,0.943959598620189,1735,400,2
fusion_mlp,target_design_binary,split_cold_start_pi_cluster_safe,365,0.873972602739726,0.6840183679614574,0.8551785441750916,0.9290123456790124,0.8905325443786982,0.9709677419354839,0.8741348973607038,0.9761226500078222,1735,400,2
fusion_extra_trees,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8575342465753425,0.554710960960961,0.8112556049199885,0.9219219219219219,0.8623595505617978,0.9903225806451613,0.8675659824046921,0.9739950995159639,1735,400,2
