model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_cold_start_institution_cluster_safe,290,0.8482758620689655,0.5352564102564102,0.8403846153846154,0.15384615384615385,0.17391304347826086,0.13793103448275862,0.6308627295547629,0.1548707253142333,2030,180,2,0.9199999999999999,0.6776119402985075
fusion_svm,target_integration_binary,split_cold_start_institution_cluster_safe,290,0.8689655172413793,0.5123030624889361,0.8459550362896088,0.09523809523809523,0.15384615384615385,0.06896551724137931,0.6205575373232923,0.1474980837202506,2030,180,2,0.9099999999999999,0.6823529411764706
fusion_mlp,target_integration_binary,split_cold_start_institution_cluster_safe,290,0.8517241379310345,0.5816980309281808,0.8505652276005501,0.24561403508771928,0.25,0.2413793103448276,0.6848989298454221,0.28670748035592575,2030,180,2,0.24,0.6604938271604939
fusion_extra_trees,target_integration_binary,split_cold_start_institution_cluster_safe,290,0.8275862068965517,0.5835248161764706,0.8385799632352942,0.2647058823529412,0.23076923076923078,0.3103448275862069,0.716607213634562,0.3084556717338155,2030,180,2,0.19999999999999996,0.6763648251062438
