,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,94,0,0,19,0,1
true_implicit_mmr,42,1,0,15,0,1
true_multi_method_not_mmr,29,1,0,19,0,2
true_no_method_signal,18,1,0,36,0,1
true_qual_only,24,0,0,15,1,0
true_quant_only,22,3,0,27,0,2
