model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_design_binary,split_random_cluster_stratified,371,0.8733153638814016,0.5385205769485245,0.8786127497505928,0.14545454545454545,0.13333333333333333,0.16,0.6897109826589596,0.12713378696786778,1751,378,2,0.7899999999999999,0.5730743166930201
fusion_svm,target_design_binary,split_random_cluster_stratified,371,0.8544474393530997,0.5383019911504425,0.8688644956229277,0.15625,0.1282051282051282,0.2,0.6705202312138728,0.11746166932271987,1751,378,2,0.5499999999999999,0.5636969904240766
fusion_mlp,target_design_binary,split_random_cluster_stratified,371,0.9056603773584906,0.5263887369150527,0.8930941483076537,0.10256410256410256,0.14285714285714285,0.08,0.7695953757225433,0.16173119116278284,1751,378,2,0.25999999999999995,0.5380479061430666
fusion_extra_trees,target_design_binary,split_random_cluster_stratified,371,0.9137466307277629,0.47746478873239434,0.8905812231881858,0.0,0.0,0.0,0.727514450867052,0.16282453711182648,1751,378,2,0.14999999999999997,0.6337552742616034
