model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,macro_ovr_roc_auc,macro_pr_auc,n_train,n_validation,n_classes
dummy,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.22935779816513763,0.06218905472636816,0.08558126797206628,0.5,0.16666666666666666,2228,54,6
fusion_lr,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.3440366972477064,0.28744441465385734,0.36445689482567983,0.6471282807448336,0.31829905426156646,2228,54,6
fusion_svm,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.3486238532110092,0.29459982626483366,0.3610045879017444,0.6393612598306605,0.32338576164165317,2228,54,6
fusion_mlp,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.3623853211009174,0.28308086701892005,0.3742559718974431,0.6841590511697002,0.35704307715008426,2228,54,6
fusion_extra_trees,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.38990825688073394,0.20175844293491352,0.3044509799501705,0.6089067101668522,0.3121878264611531,2228,54,6
