,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,30,0,1,2,2,2
true_implicit_mmr,9,2,0,1,1,1
true_multi_method_not_mmr,7,1,6,5,1,3
true_no_method_signal,5,0,2,6,0,5
true_qual_only,4,0,1,2,0,1
true_quant_only,3,2,1,5,0,3
