,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,0,0,0,444,0,0
true_implicit_mmr,0,0,0,166,0,0
true_multi_method_not_mmr,0,0,0,91,0,0
true_no_method_signal,0,0,0,23,0,0
true_qual_only,0,0,0,95,0,0
true_quant_only,0,0,0,78,0,0
