model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,macro_ovr_roc_auc,macro_pr_auc,n_train,n_validation,n_classes
dummy,target_mmr_multiclass,split_edu_to_eng_cluster_safe,342,0.28362573099415206,0.07365223993925589,0.12533802235276878,0.5,0.16666666666666666,1842,316,6
fusion_lr,target_mmr_multiclass,split_edu_to_eng_cluster_safe,342,0.30409356725146197,0.3043092221259745,0.3161351531547352,0.6865566113432181,0.32050028803267006,1842,316,6
fusion_svm,target_mmr_multiclass,split_edu_to_eng_cluster_safe,342,0.2573099415204678,0.254927887422082,0.2558126048982885,0.6575032934323035,0.30313580558272973,1842,316,6
fusion_mlp,target_mmr_multiclass,split_edu_to_eng_cluster_safe,342,0.3830409356725146,0.3512907913588332,0.39529841723325176,0.7285324261794598,0.36765766371611547,1842,316,6
fusion_extra_trees,target_mmr_multiclass,split_edu_to_eng_cluster_safe,342,0.4327485380116959,0.25076771180620244,0.3233035641980709,0.7184121899379395,0.3508862561929915,1842,316,6
