epoch,train_loss,val_macro_f1,val_accuracy,val_weighted_f1
1,1.9457621574401855,0.06031812571322107,0.17052023121387283,0.06414355517377993
2,1.9960168600082397,0.1259211283822683,0.33815028901734107,0.2184544311000629
3,1.9375584125518799,0.148102771136479,0.35260115606936415,0.245356203624048
4,1.8613827228546143,0.16336576480518902,0.33815028901734107,0.25583015348773785
5,1.8505752086639404,0.12317641206530096,0.23121387283236994,0.18601279188947784
6,1.8542802333831787,0.14272408030202752,0.30346820809248554,0.2357774680731354
7,1.8315285444259644,0.1370672082268468,0.3352601156069364,0.23582025157909617
8,1.8201135396957397,0.11774282077333613,0.3583815028901734,0.22134688176585413
9,1.802054762840271,0.11931383792048929,0.3670520231213873,0.2176073540329851
10,1.7856007814407349,0.10564493949394939,0.3236994219653179,0.2025571596176959
11,1.7765576839447021,0.12731270022696714,0.2947976878612717,0.20627553849433752
12,1.7698074579238892,0.1375070362863525,0.30346820809248554,0.21171258855166158
13,1.7658514976501465,0.1427047526198647,0.3236994219653179,0.22833141471778567
14,1.7651095390319824,0.12479140132073964,0.3236994219653179,0.22078670273123738
15,1.730909824371338,0.13516198406233704,0.32947976878612717,0.23501048814981446
16,1.7254703044891357,0.1462735546118977,0.3265895953757225,0.24255346943963463
17,1.720362663269043,0.14619965280165528,0.3352601156069364,0.24355237407300317
18,1.7028096914291382,0.13710563856262284,0.32947976878612717,0.22787595196077493
19,1.6917719841003418,0.1645752973988358,0.3554913294797688,0.2563643885925537
20,1.6852247714996338,0.20450782629537065,0.3930635838150289,0.2896094989939616
21,1.6535619497299194,0.18822451634592732,0.3988439306358382,0.2748927830022919
22,1.6499184370040894,0.2178876055814971,0.41329479768786126,0.3023203198986442
23,1.6308337450027466,0.1949885086956431,0.40173410404624277,0.2845042738965286
24,1.625251054763794,0.25265977439021414,0.4277456647398844,0.3389078691995605
25,1.6048619747161865,0.24197724287455094,0.42485549132947975,0.33530899182441665
26,1.5966607332229614,0.21647789892855682,0.41329479768786126,0.3132021858642828
27,1.5908124446868896,0.2623428980778658,0.42196531791907516,0.34578214845538235
28,1.570081114768982,0.29378332812663804,0.4393063583815029,0.367911877826536
29,1.573362946510315,0.2046576408341114,0.4046242774566474,0.29990077341148397
30,1.56294584274292,0.26332370758661994,0.4393063583815029,0.349835489599528
31,1.5317062139511108,0.2759640380978446,0.44508670520231214,0.3600999727065198
32,1.532524824142456,0.2738853368188143,0.4393063583815029,0.35963493267286833
33,1.5332456827163696,0.237077100697756,0.4277456647398844,0.3345053327315073
34,1.5111775398254395,0.29084706780860864,0.44508670520231214,0.3751035436374609
35,1.5145996809005737,0.22963758072453722,0.4190751445086705,0.3286709530300885
36,1.5160797834396362,0.2912676747248765,0.43641618497109824,0.380380901880766
37,1.4886599779129028,0.28483792185118667,0.43352601156069365,0.3775484199452975
38,1.4786430597305298,0.2532392050493104,0.4190751445086705,0.3559354923150273
39,1.4715766906738281,0.2767133702111183,0.3988439306358382,0.363529346824181
40,1.4554749727249146,0.27184363100003656,0.4393063583815029,0.36882666510858614
41,1.463719367980957,0.28181097299811436,0.4046242774566474,0.3671516171038215
42,1.4461100101470947,0.2894561006884804,0.4190751445086705,0.37380419274176474
43,1.4282435178756714,0.2489621712068059,0.41329479768786126,0.3462926796777041
44,1.443796157836914,0.26947937137090133,0.38439306358381503,0.3443999700596205
45,1.426283597946167,0.2457521885454789,0.4046242774566474,0.34456339599343255
46,1.396040439605713,0.2699193568078882,0.3959537572254335,0.35545365510691596
47,1.3781930208206177,0.33173290907451936,0.407514450867052,0.38894882973031136
48,1.4052767753601074,0.2574019387076712,0.3930635838150289,0.3433361783216354
49,1.3838372230529785,0.3125890135386244,0.41040462427745666,0.37037025418112435
50,1.376482605934143,0.2633208081698378,0.3930635838150289,0.341641790497261
51,1.3456169366836548,0.2654831920166221,0.3930635838150289,0.3515837479094485
52,1.3491456508636475,0.2795483435346096,0.3699421965317919,0.35808927287748693
53,1.343156337738037,0.26869653222539097,0.3699421965317919,0.3474467126333129
54,1.3253698348999023,0.2686461326990703,0.407514450867052,0.35584084465353877
55,1.3113595247268677,0.2775412262742245,0.3959537572254335,0.3618270240492617
