,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,19,5,1,3,2,7
implicit_mmr,9,0,1,2,1,1
multi_method_not_mmr,5,2,3,5,5,3
no_method_signal,3,1,3,7,2,2
qual_only,1,1,1,1,1,3
quant_only,2,1,0,3,3,5
