model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_design_binary,split_cold_start_pi_cluster_safe,336,0.8095238095238095,0.6240559440559441,0.8535331335331335,0.36,0.23076923076923078,0.8181818181818182,0.8883902721482339,0.6452084223600354,1762,402,2,0.06,0.621279614789658
fusion_svm,target_design_binary,split_cold_start_pi_cluster_safe,336,0.875,0.6733333333333333,0.896388888888889,0.4166666666666667,0.3,0.6818181818181818,0.8772437753329473,0.5900582043673563,1762,402,2,0.3499999999999999,0.6419177364422322
fusion_mlp,target_design_binary,split_cold_start_pi_cluster_safe,336,0.9136904761904762,0.7385634944058383,0.9245165077917085,0.5245901639344263,0.41025641025641024,0.7272727272727273,0.9202374059061957,0.4271455106900947,1762,402,2,0.09,0.6050304578502652
fusion_extra_trees,target_design_binary,split_cold_start_pi_cluster_safe,336,0.8095238095238095,0.6240559440559441,0.8535331335331335,0.36,0.23076923076923078,0.8181818181818182,0.9137232194557037,0.4779961011306105,1762,402,2,0.10999999999999999,0.648900332338963
