model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_temporal_cluster_safe,864,0.7870370370370371,0.5244966081619468,0.7404177085451986,0.17117117117117117,0.35185185185185186,0.1130952380952381,0.575550766283525,0.2688010643075529,1249,387,2,0.49999999999999994,0.5969421763039493
fusion_svm,target_integration_binary,split_temporal_cluster_safe,864,0.7743055555555556,0.5163276730733346,0.7321950612676494,0.1630901287553648,0.2923076923076923,0.1130952380952381,0.5645867542419266,0.27140608705781,1249,387,2,0.4499999999999999,0.5840579993355871
fusion_mlp,target_integration_binary,split_temporal_cluster_safe,864,0.7129629629629629,0.537680809196672,0.7116450520323894,0.25301204819277107,0.25609756097560976,0.25,0.5853602216748768,0.24633629966783413,1249,387,2,0.27999999999999997,0.5697970122889034
fusion_extra_trees,target_integration_binary,split_temporal_cluster_safe,864,0.71875,0.5762782671873581,0.7264281173372082,0.3305785123966942,0.3076923076923077,0.35714285714285715,0.6160201149425287,0.28666101073288897,1249,387,2,0.15999999999999998,0.5973165388828039
