,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,97,0,6,2,0,5
true_implicit_mmr,49,0,4,1,0,3
true_multi_method_not_mmr,30,0,13,7,2,7
true_no_method_signal,23,0,14,7,0,11
true_qual_only,22,0,3,0,0,6
true_quant_only,30,0,11,4,2,6
