,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,24,3,2,3,1,4
implicit_mmr,6,3,0,1,1,3
multi_method_not_mmr,2,3,3,5,2,8
no_method_signal,0,2,3,7,2,4
qual_only,1,0,1,2,0,4
quant_only,1,2,1,5,0,5
