,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,75,14,6,2,6,7
true_implicit_mmr,29,8,6,6,5,3
true_multi_method_not_mmr,18,8,11,16,2,4
true_no_method_signal,8,2,7,23,1,14
true_qual_only,16,2,1,6,1,5
true_quant_only,17,5,5,11,4,11
