model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,macro_ovr_roc_auc,macro_pr_auc,n_train,n_validation,n_classes
dummy,target_mmr_multiclass,split_temporal_cluster_safe,897,0.02564102564102564,0.008333333333333333,0.0012820512820512823,0.5,0.16666666666666666,1257,346,6
fusion_lr,target_mmr_multiclass,split_temporal_cluster_safe,897,0.3979933110367893,0.25450553105860196,0.38647493087861745,0.6826654813341585,0.2599376093580346,1257,346,6
fusion_svm,target_mmr_multiclass,split_temporal_cluster_safe,897,0.3857302118171683,0.22555316562230973,0.3783424358275668,0.6460118843145682,0.23655460479212778,1257,346,6
fusion_mlp,target_mmr_multiclass,split_temporal_cluster_safe,897,0.4236343366778149,0.2302167316252801,0.4009069658722907,0.6847060884405701,0.2516923301771735,1257,346,6
fusion_extra_trees,target_mmr_multiclass,split_temporal_cluster_safe,897,0.48049052396878483,0.22459366751255047,0.383648874594758,0.7198291901273887,0.3119335292561594,1257,346,6
