,pred_explicit_mmr,pred_implicit_mmr,pred_multi_method_not_mmr,pred_no_method_signal,pred_qual_only,pred_quant_only
true_explicit_mmr,20,2,3,1,5,6
true_implicit_mmr,2,2,0,1,6,3
true_multi_method_not_mmr,1,0,5,7,5,5
true_no_method_signal,0,0,2,9,3,4
true_qual_only,2,0,1,0,2,3
true_quant_only,0,1,1,5,3,4
