,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,111,1,0,1,0,1
implicit_mmr,39,6,0,7,2,5
multi_method_not_mmr,16,6,6,17,0,6
no_method_signal,8,2,4,40,1,1
qual_only,19,1,1,14,5,0
quant_only,22,1,3,17,2,9
