,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,24,4,1,2,1,5
implicit_mmr,6,3,0,1,1,3
multi_method_not_mmr,3,5,3,4,2,6
no_method_signal,0,1,4,10,0,3
qual_only,1,0,1,2,1,3
quant_only,0,3,2,4,1,4
