model,target,split_col,eval_split,n,best_epoch,best_val_macro_f1,seed,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,threshold
text_hgt,target_design_binary,split_cold_start_institution_cluster_safe,train,2253,7,0.7828802611966783,42,0.8588548601864181,0.7265985376948086,0.8627373048798539,0.9279279279279279,0.9058458354888774,0.9167539267015706,0.8181389032591826,0.9591669293622367,
text_hgt,target_design_binary,split_cold_start_institution_cluster_safe,validation,133,7,0.7828802611966783,42,0.8270676691729323,0.7828802611966783,0.8307499531709535,0.9042553191489362,0.8585858585858586,0.8808290155440415,0.8256090314913844,0.9359393690224975,
text_hgt,target_design_binary,split_cold_start_institution_cluster_safe,test,114,7,0.7828802611966783,42,0.7368421052631579,0.6041666666666667,0.7609649122807017,0.8928571428571429,0.78125,0.8333333333333334,0.7690972222222223,0.9503817227894082,
