epoch,train_loss,val_macro_f1,val_accuracy,val_weighted_f1,val_positive_precision,val_positive_recall,val_positive_f1,val_roc_auc,val_pr_auc,val_threshold
1,0.8006470799446106,0.4267241379310345,0.7443609022556391,0.6352735286492092,0.7443609022556391,1.0,0.853448275862069,0.8620023767082592,0.9510070508061668,
2,1.0294431447982788,0.7213864025899829,0.7518796992481203,0.7664333181076859,0.9230769230769231,0.7272727272727273,0.8135593220338984,0.8431372549019609,0.9443275413056286,
3,0.7088705897331238,0.20359281437125748,0.2556390977443609,0.10409256674620683,0.0,0.0,0.0,0.8259061200237671,0.9363600917166462,
4,0.7345632910728455,0.20359281437125748,0.2556390977443609,0.10409256674620683,0.0,0.0,0.0,0.8262032085561498,0.9362257877718132,
5,0.7236713767051697,0.20359281437125748,0.2556390977443609,0.10409256674620683,0.0,0.0,0.0,0.832739156268568,0.9395028070672082,
6,0.6910619735717773,0.5760473588342441,0.5789473684210527,0.593183779119931,0.9777777777777777,0.4444444444444444,0.6111111111111112,0.8324420677361855,0.939586339105676,
7,0.6648333072662354,0.7828802611966783,0.8270676691729323,0.8307499531709535,0.9042553191489362,0.8585858585858586,0.8808290155440415,0.8256090314913844,0.9359393690224975,
8,0.6523111462593079,0.5735937044593413,0.7518796992481203,0.7083447470322556,0.775,0.9393939393939394,0.8493150684931506,0.8211527035056447,0.9336523195663791,
9,0.6525827646255493,0.5678516819571866,0.7443609022556391,0.7028293210089445,0.773109243697479,0.9292929292929293,0.8440366972477065,0.8205585264408795,0.9335422436907291,
10,0.6614682674407959,0.7251435132032147,0.7969924812030075,0.7938226737912519,0.8529411764705882,0.8787878787878788,0.8656716417910447,0.8235294117647058,0.9351175732736411,
11,0.6400597095489502,0.7045007300196788,0.7368421052631579,0.7522777616293639,0.9102564102564102,0.7171717171717171,0.8022598870056498,0.8244206773618539,0.9353466257159921,
12,0.6222675442695618,0.6302277432712216,0.6466165413533834,0.668273167390526,0.9193548387096774,0.5757575757575758,0.7080745341614907,0.8250148544266191,0.9353942222030471,
13,0.6265974044799805,0.6258790436005626,0.6390977443609023,0.6602476655774457,0.9322033898305084,0.5555555555555556,0.6962025316455697,0.8229352346999406,0.9344030428527816,
14,0.6057007908821106,0.6124708624708625,0.6240601503759399,0.6452231978547769,0.9298245614035088,0.5353535353535354,0.6794871794871795,0.8196672608437314,0.9329496207164388,
15,0.6010082364082336,0.6191784023841524,0.631578947368421,0.6527632117165466,0.9310344827586207,0.5454545454545454,0.6878980891719745,0.8184789067142008,0.9320214187098359,
16,0.5936741232872009,0.6392688679245283,0.6541353383458647,0.6750585189388566,0.9344262295081968,0.5757575757575758,0.7125,0.8143196672608438,0.9307481893615809,
17,0.5771681666374207,0.6501673840267814,0.6691729323308271,0.6900177272449416,0.9230769230769231,0.6060606060606061,0.7317073170731707,0.8166963755199049,0.9317216748812345,
18,0.5552483797073364,0.6701748019113288,0.6917293233082706,0.7113819751701882,0.9264705882352942,0.6363636363636364,0.7544910179640718,0.8267973856209151,0.9376160173220452,
19,0.5477983355522156,0.6660688665710186,0.6842105263157895,0.7041078305519897,0.9384615384615385,0.6161616161616161,0.7439024390243902,0.829471182412359,0.9386124407945362,
20,0.5200400948524475,0.6660688665710186,0.6842105263157895,0.7041078305519897,0.9384615384615385,0.6161616161616161,0.7439024390243902,0.8288770053475937,0.937582337946849,
21,0.4945831596851349,0.6474698795180723,0.6691729323308271,0.6902183168765288,0.9104477611940298,0.6161616161616161,0.7349397590361446,0.825014854426619,0.9355279619426451,
22,0.48086199164390564,0.5331748188405797,0.5338345864661654,0.5417517979731938,0.9743589743589743,0.3838383838383838,0.5507246376811594,0.8223410576351753,0.9346538116273921,
23,0.4932805001735687,0.6961021505376344,0.7443609022556391,0.7552874120785835,0.8735632183908046,0.7676767676767676,0.8172043010752689,0.8143196672608438,0.9300176903691784,
24,0.5020665526390076,0.6434731934731934,0.6541353383458647,0.6736053420263947,0.9649122807017544,0.5555555555555556,0.7051282051282052,0.8229352346999406,0.9345512420743849,
25,0.4492095112800598,0.525886946189102,0.5263157894736842,0.5328556495635626,0.9736842105263158,0.37373737373737376,0.5401459854014599,0.8419489007724302,0.9425019265994999,
26,0.4549109935760498,0.6162280701754386,0.6240601503759399,0.6430220287561007,0.9622641509433962,0.5151515151515151,0.6710526315789473,0.8425430778371954,0.9424199851697066,
27,0.4165741801261902,0.7481060606060606,0.7744360902255639,0.787907268170426,0.948051948051948,0.7373737373737373,0.8295454545454546,0.8419489007724301,0.9373334389802178,
28,0.4494975805282593,0.7047104710471047,0.7218045112781954,0.7394327402665078,0.9696969696969697,0.6464646464646465,0.7757575757575758,0.8464052287581699,0.941615942264214,
29,0.4430972933769226,0.5830721003134796,0.5864661654135338,0.60145661960544,0.9782608695652174,0.45454545454545453,0.6206896551724138,0.8588829471182412,0.9503092757123454,
30,0.41830018162727356,0.5619036801453885,0.5639097744360902,0.5763921389115679,0.9767441860465116,0.42424242424242425,0.5915492957746479,0.8597742127153892,0.9507709548469746,
31,0.42522284388542175,0.5970388155262105,0.6015037593984962,0.6177689120761087,0.9791666666666666,0.47474747474747475,0.6394557823129252,0.8606654783125371,0.9513807816151949,
32,0.40606388449668884,0.7229166666666667,0.7443609022556391,0.7605889724310777,0.9577464788732394,0.6868686868686869,0.8,0.8594771241830067,0.9507344269326495,
33,0.41484594345092773,0.6887488748874888,0.706766917293233,0.725348023524157,0.9545454545454546,0.6363636363636364,0.7636363636363637,0.8585858585858586,0.9499596536610574,
34,0.38525182008743286,0.6638452947745841,0.6766917293233082,0.6959613811463944,0.9666666666666667,0.5858585858585859,0.7295597484276729,0.8556149732620322,0.9482944881793908,
35,0.39760300517082214,0.6162280701754386,0.6240601503759399,0.6430220287561007,0.9622641509433962,0.5151515151515151,0.6710526315789473,0.8565062388591801,0.9486849982940478,
36,0.3934275507926941,0.609386697379787,0.6165413533834586,0.6352229551708237,0.9615384615384616,0.5050505050505051,0.6622516556291391,0.8562091503267973,0.9484337984073774,
37,0.3898363709449768,0.6347221410623503,0.6466165413533834,0.6669361418505652,0.9482758620689655,0.5555555555555556,0.7006369426751592,0.8532382650029708,0.9470506806141646,
