,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,64,19,8,2,12,9
implicit_mmr,21,13,5,7,5,8
multi_method_not_mmr,9,3,15,12,8,4
no_method_signal,7,3,7,20,9,10
qual_only,7,1,4,7,17,4
quant_only,11,7,13,4,5,14
