model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes
dummy,target_integration_binary,split_random_cluster_stratified,374,0.5374331550802139,0.34956521739130436,0.3757358753778191,0.0,0.0,0.0,0.5,0.4625668449197861,1750,376,2
fusion_lr,target_integration_binary,split_random_cluster_stratified,374,0.7112299465240641,0.7093598894773199,0.7111052760542813,0.686046511627907,0.6900584795321637,0.6820809248554913,0.7839990797457798,0.7339613766343732,1750,376,2
fusion_svm,target_integration_binary,split_random_cluster_stratified,374,0.7219251336898396,0.7207753050969131,0.7221167717886606,0.7028571428571428,0.6949152542372882,0.7109826589595376,0.7757455497081069,0.7220270856690237,1750,376,2
fusion_mlp,target_integration_binary,split_random_cluster_stratified,374,0.7379679144385026,0.7364909556264918,0.7379679144385026,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.818853708336928,0.7787399439430251,1750,376,2
fusion_extra_trees,target_integration_binary,split_random_cluster_stratified,374,0.7620320855614974,0.7618942022246862,0.7623231726058765,0.7561643835616438,0.71875,0.7976878612716763,0.818824950392546,0.7281114153209932,1750,376,2
