epoch,train_loss,val_macro_f1,val_accuracy,val_weighted_f1,val_positive_precision,val_positive_recall,val_positive_f1,val_roc_auc,val_pr_auc,val_threshold
1,0.803920567035675,0.33884297520661155,0.5125,0.34731404958677686,0.5125,1.0,0.6776859504132231,0.780462789243277,0.7499323894783616,
2,1.1492666006088257,0.33884297520661155,0.5125,0.34731404958677686,0.5125,1.0,0.6776859504132231,0.7417135709818636,0.697925071256625,
3,0.7540035843849182,0.3277310924369748,0.4875,0.3195378151260504,0.0,0.0,0.0,0.7219011882426517,0.6764359430391566,
4,0.7337612509727478,0.3277310924369748,0.4875,0.3195378151260504,0.0,0.0,0.0,0.7245778611632271,0.676534998373002,
5,0.7375271320343018,0.3277310924369748,0.4875,0.3195378151260504,0.0,0.0,0.0,0.7476422764227642,0.6997345350573033,
6,0.7292675375938416,0.3277310924369748,0.4875,0.3195378151260504,0.0,0.0,0.0,0.759724828017511,0.7172557386114475,
7,0.7062689661979675,0.3331371972148671,0.49,0.3250514857310974,1.0,0.004878048780487805,0.009708737864077669,0.76505315822389,0.7216535413916136,
8,0.7017219662666321,0.6885228592545666,0.705,0.6903138528138528,0.6515679442508711,0.9121951219512195,0.7601626016260162,0.7600750469043152,0.7140842614119918,
9,0.6829736828804016,0.37746282989502966,0.53,0.3851667273750786,0.5216284987277354,1.0,0.68561872909699,0.7343339587242026,0.6881230771500928,
10,0.692396879196167,0.33884297520661155,0.5125,0.34731404958677686,0.5125,1.0,0.6776859504132231,0.6944715447154471,0.6475556739462707,
11,0.6891845464706421,0.3445060143262603,0.515,0.3528635626436005,0.5137844611528822,1.0,0.6788079470198676,0.6798499061913696,0.6326779082663976,
12,0.6892867684364319,0.44668843025507665,0.5625,0.4530169313340342,0.5396825396825397,0.9951219512195122,0.6998284734133791,0.6794496560350218,0.6314775797686711,
13,0.6843501925468445,0.6697432455109917,0.6925,0.6719105554623259,0.6366666666666667,0.9317073170731708,0.7564356435643564,0.6844277673545967,0.6377625171077257,
14,0.6666787266731262,0.6416749788753423,0.6475,0.6428171398801772,0.6300813008130082,0.7560975609756098,0.6873614190687362,0.6870043777360851,0.6413167832306738,
15,0.6673078536987305,0.5770532625085246,0.5775,0.5767096182843128,0.5989010989010989,0.5317073170731708,0.5633074935400517,0.6853783614759225,0.6380199590576301,
16,0.6604376435279846,0.5693108974358975,0.57,0.5688802083333333,0.5921787709497207,0.5170731707317073,0.5520833333333334,0.682701688555347,0.6369543849162911,
17,0.6606367826461792,0.562365974579715,0.5625,0.5621745096935937,0.5797872340425532,0.5317073170731708,0.55470737913486,0.6823264540337711,0.6445898034338919,
18,0.6508203148841858,0.5699892497312433,0.57,0.5699354983874596,0.5854922279792746,0.551219512195122,0.5678391959798995,0.6838023764853033,0.6515105966107794,
19,0.6454253792762756,0.6024378809188935,0.6025,0.6025621190811065,0.615,0.6,0.6074074074074074,0.6915322076297685,0.6528575003917741,
20,0.6391485333442688,0.6349908747718693,0.635,0.6349452486312158,0.6528497409326425,0.6146341463414634,0.6331658291457286,0.7176735459662288,0.67220952736558,
