,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,24,29,6,0,22,16
implicit_mmr,3,15,3,0,4,7
multi_method_not_mmr,1,8,17,6,10,15
no_method_signal,0,15,13,17,8,13
qual_only,6,12,1,1,19,3
quant_only,4,8,11,7,6,12
