,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,34,12,3,1,0,0
implicit_mmr,2,6,0,0,0,7
multi_method_not_mmr,4,3,7,15,6,3
no_method_signal,0,4,13,39,3,6
qual_only,0,2,1,2,3,0
quant_only,3,8,11,11,2,7
