,explicit_mmr,implicit_mmr,multi_method_not_mmr,no_method_signal,qual_only,quant_only
explicit_mmr,110,0,0,0,0,0
implicit_mmr,57,0,0,0,0,0
multi_method_not_mmr,59,0,0,0,0,0
no_method_signal,55,0,0,0,0,0
qual_only,31,0,0,0,0,0
quant_only,53,0,0,0,0,0
