epoch,train_loss,val_macro_f1,val_accuracy,val_weighted_f1,val_positive_precision,val_positive_recall,val_positive_f1,val_roc_auc,val_pr_auc,val_threshold
1,0.7992336750030518,0.46256239600665555,0.8606811145510835,0.7962374370888561,0.8606811145510835,1.0,0.9251247920133111,0.9025979216626698,0.9843226728948545,
2,1.0609573125839233,0.7049003322259135,0.8637770897832817,0.8610956255207101,0.9148936170212766,0.9280575539568345,0.9214285714285714,0.8932853717026379,0.9799848033250813,
3,0.7206488847732544,0.12228260869565218,0.1393188854489164,0.03407255350652847,0.0,0.0,0.0,0.8689048760991207,0.9730826594186139,
4,0.741141140460968,0.12228260869565218,0.1393188854489164,0.03407255350652847,0.0,0.0,0.0,0.8639488409272581,0.972012342028891,
5,0.730640709400177,0.12228260869565218,0.1393188854489164,0.03407255350652847,0.0,0.0,0.0,0.8697841726618704,0.9742533792608701,
6,0.7041176557540894,0.4525149190110827,0.47678018575851394,0.5356591418368397,0.9823008849557522,0.39928057553956836,0.5677749360613811,0.8704236610711431,0.9754118247729646,
7,0.672690749168396,0.7408171620404487,0.848297213622291,0.861215489052801,0.9525691699604744,0.8669064748201439,0.9077212806026366,0.8587529976019185,0.9728470919600606,
8,0.6536281704902649,0.5398860398860399,0.8637770897832817,0.8183606326021186,0.870253164556962,0.9892086330935251,0.9259259259259259,0.8355715427657874,0.9674952394361519,
9,0.6648879051208496,0.5048773690078038,0.8637770897832817,0.8089633142466633,0.865625,0.9964028776978417,0.9264214046822743,0.8286171063149481,0.9662960453185402,
10,0.674139142036438,0.5352227227227226,0.8575851393188855,0.814443700666611,0.8694267515923567,0.9820143884892086,0.9222972972972973,0.8312549960031975,0.9672269362168094,
11,0.6574699282646179,0.7493761140819964,0.8854489164086687,0.8825902440908816,0.9257950530035336,0.9424460431654677,0.9340463458110517,0.8369304556354916,0.9686953970746837,
12,0.6301635503768921,0.7268054651919323,0.8390092879256966,0.8531025216990197,0.9484126984126984,0.8597122302158273,0.9018867924528302,0.8405275779376499,0.9696678614526094,
13,0.6381387710571289,0.659785127448915,0.7678018575851393,0.7980702819639713,0.947136563876652,0.7733812949640287,0.8514851485148515,0.8410071942446042,0.9698281025409514,
14,0.6223985552787781,0.5934326461279009,0.6811145510835913,0.7296318718257401,0.9487179487179487,0.6654676258992805,0.7822410147991543,0.8414068745003996,0.9699087667286899,
15,0.6182668805122375,0.5889993277633727,0.6718266253869969,0.7220942267034033,0.9526315789473684,0.6510791366906474,0.7735042735042735,0.8407673860911271,0.9698810614705071,
16,0.6169435381889343,0.6008403361344538,0.6904024767801857,0.7372323542420064,0.9494949494949495,0.6762589928057554,0.7899159663865546,0.8382094324540368,0.9693621003431363,
17,0.6083381772041321,0.638663967611336,0.739938080495356,0.7766573494942405,0.9490740740740741,0.737410071942446,0.8299595141700404,0.8372501998401278,0.9692363767267642,
18,0.5966199636459351,0.6669380223597091,0.7647058823529411,0.7971089445221267,0.9590909090909091,0.7589928057553957,0.8473895582329317,0.8437250199840127,0.9707566133379056,
19,0.5951362252235413,0.6779299206516396,0.7801857585139319,0.8088398669258929,0.9559471365638766,0.7805755395683454,0.8594059405940594,0.8565947242206234,0.9740373408899808,
20,0.5717551708221436,0.6779299206516396,0.7801857585139319,0.8088398669258929,0.9559471365638766,0.7805755395683454,0.8594059405940594,0.8719424460431654,0.9780754975866993,
21,0.5631899237632751,0.6892782182835822,0.7956656346749226,0.8204330755279331,0.9529914529914529,0.802158273381295,0.87109375,0.878017585931255,0.9795326688090236,
22,0.5510581731796265,0.6858227161832475,0.8111455108359134,0.8289610061541844,0.9357429718875502,0.8381294964028777,0.8842504743833017,0.8815347721822543,0.9802396565093905,
23,0.5354515910148621,0.6898386462022825,0.8111455108359134,0.8297619108539457,0.9392712550607287,0.8345323741007195,0.8838095238095238,0.8878497202238209,0.9813937044982755,
24,0.5124488472938538,0.7107619667860632,0.7956656346749226,0.8238051360323733,0.9818181818181818,0.7769784172661871,0.8674698795180723,0.8912869704236611,0.9821075911517614,
25,0.5000519156455994,0.7470556621880997,0.8421052631578947,0.8589069602990201,0.9670781893004116,0.8453237410071942,0.9021113243761996,0.9000799360511591,0.9836039454493108,
26,0.4799809455871582,0.7175256529850746,0.8142414860681114,0.8367573413890301,0.9658119658119658,0.8129496402877698,0.8828125,0.8969624300559551,0.9827232316771948,
27,0.45683902502059937,0.681689770711517,0.7678018575851393,0.8011190340541003,0.9765258215962441,0.7482014388489209,0.8472505091649695,0.8969624300559552,0.9826249897269187,
