model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,threshold,threshold_validation_metric
fusion_lr,target_integration_binary,split_cold_start_institution_cluster_safe,290,0.803448275862069,0.5635643564356436,0.8224158415841585,0.24,0.1956521739130435,0.3103448275862069,0.7271766415642753,0.19749360050971806,2030,180,2,0.5499999999999999,0.6296296296296297
fusion_svm,target_integration_binary,split_cold_start_institution_cluster_safe,290,0.8137931034482758,0.5502068014705882,0.8256663602941177,0.20588235294117646,0.1794871794871795,0.2413793103448276,0.7115867353679481,0.18920074142285567,2030,180,2,0.5599999999999999,0.6102490075784915
fusion_mlp,target_integration_binary,split_cold_start_institution_cluster_safe,290,0.8448275862068966,0.548051948051948,0.841038961038961,0.18181818181818182,0.19230769230769232,0.1724137931034483,0.738538776588717,0.2651458342601406,2030,180,2,0.31999999999999995,0.6428571428571428
fusion_extra_trees,target_integration_binary,split_cold_start_institution_cluster_safe,290,0.8517241379310345,0.5816980309281808,0.8505652276005501,0.24561403508771928,0.25,0.2413793103448276,0.7352358303606816,0.2800757583697391,2030,180,2,0.21999999999999997,0.6996996996996997
